Gene	GenBank	Am_id
ROS1	KP311682.1	Am06g36450.T01 
ROS2	DQ275530.1	Am06g36470.T01
ROS3	JI7 ref	Am06g36480.T01
ELMYB	JI7 ref	Am06g36700.T01       
Venosa	DQ275531.1	Am08g00030.T01 
Delila	M84913.1	Am02g33340.T01
CGT	JQ234673.1	Am02g53650.T01  
AMAS1	AB044884.1	Am02g01090.T01
CHS (NIV)	X03710.1	Am04g40840.T01   
CHI-typeI	AB861648.1	Am02g23710.T01 
CHI type IV	AB861649.1	Am07g21400.T01  
DFR (PAL)	X15536.1	Am06g29630.T01  
F3H (INC)	LC194907.1	Am05g03330.T01
F3'H a(EOS)	DQ272592	Am05g28780.T01
F3'H b(EOS)	DQ272592	Am05g28760.T01      
FLS	DQ272591.1	Am05g06720.T01
CYC	Y16313.1	Am08g22680.T0
DICH	AF199465.1 	Am06g32830.T01
RAD	AY954971.1	Am08g05060.T01
